company,industry_code,country,region,industry
AFLAC Inc,11,United States,North America,Finance
American Greetings Corp.,1,United States,North America,Consumer Non-Durables
Wyeth,10,United States,North America,Healthcare
American Hospital Supply,10,United States,North America,Healthcare
Ameritech Corp,7,United States,North America,Telecommunication
American International Group Inc,11,United States,North America,Finance
Hadera Paper Ltd,3,Israel,Other,Manufacturing
American Locker Group Inc,3,United States,North America,Manufacturing
American Management Systems Inc.,6,United States,North America,Business Equipment & Software
American Microsystems,6,United States,North America,Business Equipment & Software
American Nucleonics Corp,6,United States,North America,Business Equipment & Software
American Pacific Corp,5,United States,North America,Chemicals
Fina Inc,4,United States,North America,Energy
American Precision Industries,3,United States,North America,Manufacturing
APL Ltd,12,United States,North America,Other
American Science and Engineering Inc.,10,United States,North America,Healthcare
Trane Inc,3,United States,North America,Manufacturing
American Sterilizer Co,10,United States,North America,Healthcare
American Technical Ceramics Corp.,6,United States,North America,Business Equipment & Software
AT&T Corp,7,United States,North America,Telecommunication
American Vanguard Corp,5,United States,North America,Chemicals
American Water Works Company Inc,8,United States,North America,Utilities
Ameron International Corp.,3,United States,North America,Manufacturing
AMETEK Inc,6,United States,North America,Business Equipment & Software
Amgen Inc,10,United States,North America,Healthcare
Amistar Corp,3,United States,North America,Manufacturing
AMP Inc,6,United States,North America,Business Equipment & Software
Amoco Corp,4,United States,North America,Energy
Amsted Industries,3,United States,North America,Manufacturing
Anacomp Inc,6,United States,North America,Business Equipment & Software
Analog Devices Inc.,6,United States,North America,Business Equipment & Software
Analogic Corp,10,United States,North America,Healthcare
Anaren Inc,6,United States,North America,Business Equipment & Software
Andal Corp,12,United States,North America,Other
Crown Andersen Inc,3,United States,North America,Manufacturing
Anderson Clayton & Co,1,United States,North America,Consumer Non-Durables
Anderson Greenwood & Co,3,United States,North America,Manufacturing
Anderson Jacobson Inc,6,United States,North America,Business Equipment & Software
Andrea Electronics Corp,6,United States,North America,Business Equipment & Software
Andrew Corp,3,United States,North America,Manufacturing
Angelica Corp,9,United States,North America,Wholesale & Retail
Angiomedics Inc,10,United States,North America,Healthcare
Andersons Inc (The),9,United States,North America,Wholesale & Retail
Nabors Industries Ltd,4,Bermuda,North America,Energy
Anheuser-Busch Companies Inc,1,United States,North America,Consumer Non-Durables
K2 Inc.,1,United States,North America,Consumer Non-Durables
Apache Corp,4,United States,North America,Energy
Apogee Enterprises Inc,3,United States,North America,Manufacturing
Apple Inc,6,United States,North America,Business Equipment & Software
Apollo Computer Inc,6,United States,North America,Business Equipment & Software
Applied Biosystems Inc,6,United States,North America,Business Equipment & Software
Applied Magnetics Corp,6,United States,North America,Business Equipment & Software
Applied Materials Inc.,3,United States,North America,Manufacturing
Actuant Corp,3,United States,North America,Manufacturing
Archer-Daniels-Midland Co,1,United States,North America,Consumer Non-Durables
Arden Group Inc,9,United States,North America,Wholesale & Retail
Argosystems Inc,6,United States,North America,Business Equipment & Software
Armatron International Inc,3,United States,North America,Manufacturing
Armco Inc,3,United States,North America,Manufacturing
Arnold Industries Inc,12,United States,North America,Other
Arrow Electronics Inc,9,United States,North America,Wholesale & Retail
Art's Way Manufacturing Co. Inc,3,United States,North America,Manufacturing
Arvin Industries Inc,2,United States,North America,Consumer Durables
Asarco Inc,3,United States,North America,Manufacturing
Ashland Global Holdings Inc,5,United States,North America,Chemicals
AstroNova Inc,6,United States,North America,Business Equipment & Software
Astronics Corp,2,United States,North America,Consumer Durables
Astrosystems Inc,6,United States,North America,Business Equipment & Software
Athey Products Corp,2,United States,North America,Consumer Durables
Southern Co Gas,8,United States,North America,Utilities
Atlantic Research Corp,3,United States,North America,Manufacturing
Atlantic Richfield Co,4,United States,North America,Energy
Atwood Oceanics Inc.,4,United States,North America,Energy
Augat Inc,2,United States,North America,Consumer Durables
Ault Inc,6,United States,North America,Business Equipment & Software
Unit Instruments Inc,6,United States,North America,Business Equipment & Software
Autodesk Inc.,6,United States,North America,Business Equipment & Software
Autodynamics Inc,6,United States,North America,Business Equipment & Software
Automated Systems Inc,6,United States,North America,Business Equipment & Software
Automatic Data Processing Inc.,6,United States,North America,Business Equipment & Software
DelSite Inc,10,United States,North America,Healthcare
Avantek Inc,6,United States,North America,Business Equipment & Software
Avery Dennison Corp,3,United States,North America,Manufacturing
Avnet Inc,9,United States,North America,Wholesale & Retail
Avon Products Inc.,5,United Kingdom,Europe,Chemicals
Aztech International Ltd,2,United States,North America,Consumer Durables
British American Tobacco PLC,1,United Kingdom,Europe,Consumer Non-Durables
BI Inc,12,United States,North America,Other
BIW Cable Systems Inc,3,United States,North America,Manufacturing
BMC Industries Inc,3,United States,North America,Manufacturing
Boc Group PLC,5,United Kingdom,Europe,Chemicals
BSD Medical Corp,10,United States,North America,Healthcare
Mid-Atlantic Realty Trust,11,United States,North America,Finance
Badger Meter Inc.,6,United States,North America,Business Equipment & Software
Badger Paper Mills Inc,3,United States,North America,Manufacturing
Michael Baker Corp,12,United States,North America,Other
Baker Hughes Inc,4,United States,North America,Energy
Balchem Corp,10,United States,North America,Healthcare
Baldor Electric Co,3,United States,North America,Manufacturing
Ball Corp,3,United States,North America,Manufacturing
Ballard Medical Products,10,United States,North America,Healthcare
Baltek Corp,12,United States,North America,Other
Constellation Energy Group Inc.,8,United States,North America,Utilities
BancTec Inc,6,United States,North America,Business Equipment & Software
Bandag Inc.,3,United States,North America,Manufacturing
Bank of New York Mellon Corp (The),11,United States,North America,Finance
Barbecon Inc,9,Canada,North America,Wholesale & Retail
Barber-Greene Co,3,United States,North America,Manufacturing
Bard (C.R.) Inc,10,United States,North America,Healthcare
Barnes Group Inc,3,United States,North America,Manufacturing
Baron Data Systems,6,United States,North America,Business Equipment & Software
Barrick Gold Corp,12,Canada,North America,Other
Barry (R G) Corp,1,United States,North America,Consumer Non-Durables
Barton Industries Inc,3,United States,North America,Manufacturing
Bausch & Lomb Holdings Inc,10,United States,North America,Healthcare
Baxter International Inc,10,United States,North America,Healthcare
Beacon Photo Service Inc,12,United States,North America,Other
"Becton, Dickinson and Co",10,United States,North America,Healthcare
Beehive International,6,United States,North America,Business Equipment & Software
Bel Fuse Inc.,6,United States,North America,Business Equipment & Software
Verizon Communications Inc,7,United States,North America,Telecommunication
BCE Inc.,7,Canada,North America,Telecommunication
Bell Industries Inc.,6,United States,North America,Business Equipment & Software
Bell Petroleum Services Inc,4,United States,North America,Energy
Bell Canada,7,Canada,North America,Telecommunication
BellSouth Corp,7,United States,North America,Telecommunication
Bemis Co Inc,3,United States,North America,Manufacturing
Bench Craft Inc,2,United States,North America,Consumer Durables
Bendix Corp,2,United States,North America,Consumer Durables
Berger Industries Inc,3,United States,North America,Manufacturing
Berkey Inc,9,United States,North America,Wholesale & Retail
Berkshire Hathaway Inc,12,United States,North America,Other
Best Buy Co Inc,9,United States,North America,Wholesale & Retail
Bethlehem Steel Corp,3,United States,North America,Manufacturing
Betzdearborn Inc,5,United States,North America,Chemicals
BIC Corp,1,United States,North America,Consumer Non-Durables
Big B Inc,9,United States,North America,Wholesale & Retail
Binney & Smith Inc,1,United States,North America,Consumer Non-Durables
Bio-Medicus Inc,10,United States,North America,Healthcare
Bio-Rad Laboratories Inc.,6,United States,North America,Business Equipment & Software
Bio-Response Inc,11,United States,North America,Finance
Savient Pharmaceuticals Inc,10,United States,North America,Healthcare
Biochem International Inc,10,United States,North America,Healthcare
Biocraft Laboratories Inc,10,United States,North America,Healthcare
Biomet Inc,10,United States,North America,Healthcare
Biosearch Medical Products Inc,10,United States,North America,Healthcare
Biotel Inc,10,United States,North America,Healthcare
Spherix Inc,10,United States,North America,Healthcare
Non Invasive Monitor,10,United States,North America,Healthcare
Bio-Gas of Colorado Inc,12,United States,North America,Other
Bio-Logic Systems Corp,10,United States,North America,Healthcare
Biostim Inc,10,United States,North America,Healthcare
Biotechnica International Inc,1,United States,North America,Consumer Non-Durables
Biosynergy Inc,6,United States,North America,Business Equipment & Software
Microfluidics International Corp,6,United States,North America,Business Equipment & Software
Black & Decker Corp (The),3,United States,North America,Manufacturing
Blessings Corp,3,United States,North America,Manufacturing
Block Drug,5,United States,North America,Chemicals
Block H&R Inc,9,United States,North America,Wholesale & Retail
ENSCO Plc,4,United Kingdom,Europe,Energy
Boeing Co,3,United States,North America,Manufacturing
Bolt Technology Corp,3,United States,North America,Manufacturing
CardioDynamics International Corp,10,United States,North America,Healthcare
Booth Inc,3,United States,North America,Manufacturing
Hexion Inc,5,United States,North America,Chemicals
Resolute Forest Products Inc,3,Canada,North America,Manufacturing
Rexam PLC,3,United Kingdom,Europe,Manufacturing
Bowles Fluidics Corp,2,United States,North America,Consumer Durables
White Electronic Designs Corp,6,United States,North America,Business Equipment & Software
Bowne & Co Inc,3,United States,North America,Manufacturing
Brady Corp,2,United States,North America,Consumer Durables
Brenda Mines Ltd,9,Canada,North America,Wholesale & Retail
Briggs & Stratton Corp.,3,United States,North America,Manufacturing
Bristol-Myers Squibb Co,10,United States,North America,Healthcare
TELUS Corp,7,Canada,North America,Telecommunication
BP PLC,4,United Kingdom,Europe,Energy
BT Group PLC,7,United Kingdom,Europe,Telecommunication
Brockway Inc,3,United States,North America,Manufacturing
Brown-Forman Corp,1,United States,North America,Consumer Non-Durables
Caleres Inc,1,United States,North America,Consumer Non-Durables
Browning-Ferris Industries,12,United States,North America,Other
Brunswick Corp,3,United States,North America,Manufacturing
Materion Corp,3,United States,North America,Manufacturing
Buck Engineering Co Inc,6,United States,North America,Business Equipment & Software
Buell Industries Inc,3,United States,North America,Manufacturing
Bunting Inc,6,United States,North America,Business Equipment & Software
Fortran Corp,6,United States,North America,Business Equipment & Software
Burlington Industries Inc,1,United States,North America,Consumer Non-Durables
Burr-Brown Corp,6,United States,North America,Business Equipment & Software
Unisys Corp,6,United States,North America,Business Equipment & Software
Bush Industries Inc.,2,United States,North America,Consumer Durables
Butler Manufacturing Co.,3,United States,North America,Manufacturing
CAE Inc.,6,Canada,North America,Business Equipment & Software
CBI Industries Inc,5,United States,North America,Chemicals
CBS Inc,7,United States,North America,Telecommunication
Acxiom Corp,6,United States,North America,Business Equipment & Software
CDI Corp.,12,United States,North America,Other
CFS Continental Inc,9,United States,North America,Wholesale & Retail
C.H.B. Foods Inc,1,United States,North America,Consumer Non-Durables
C-I-L Inc,5,Canada,North America,Chemicals
CMI Corp,3,United States,North America,Manufacturing
CSS Industries Inc.,3,United States,North America,Manufacturing
CPAC Inc,5,United States,North America,Chemicals
Bestfoods,1,United States,North America,Consumer Non-Durables
CSP Inc,6,United States,North America,Business Equipment & Software
CSX Corp,12,United States,North America,Other
CTI International Inc,12,United States,North America,Other
CTS Corp,6,United States,North America,Business Equipment & Software
CVD Equipment Corp,3,United States,North America,Manufacturing
HealthTronics Inc,10,United States,North America,Healthcare
Cabot Corp,5,United States,North America,Chemicals
CACI International Inc.,6,United States,North America,Business Equipment & Software
Cadbury PLC,1,United Kingdom,Europe,Consumer Non-Durables
Cadmus Communications Corp,1,United States,North America,Consumer Non-Durables
Cagle's Inc.,1,United States,North America,Consumer Non-Durables
CalAmp Corp,6,United States,North America,Business Equipment & Software
Scios Inc,9,United States,North America,Wholesale & Retail
Calmar Inc,3,United States,North America,Manufacturing
Calumet Industries Inc,4,United States,North America,Energy
Campbell Soup Co,1,United States,North America,Consumer Non-Durables
Lafarge Canada Inc,3,Canada,North America,Manufacturing
Maple Leaf Foods Inc,1,Canada,North America,Consumer Non-Durables
Canadian National Railway Co,12,Canada,North America,Other
Nexen Inc.,4,Canada,North America,Energy
Canadian Pacific Railway Ltd,12,Canada,North America,Other
Constellation Brands Inc,1,United States,North America,Consumer Non-Durables
Canbra Foods Ltd,1,Canada,North America,Consumer Non-Durables
Canon Inc,6,Japan,Asia Pacific,Business Equipment & Software
Canron Inc,3,Canada,North America,Manufacturing
Providian Financial Corp,11,United States,North America,Finance
Cardinal Health Inc,9,United States,North America,Wholesale & Retail
Carlisle Companies Inc,4,United States,North America,Energy
Carmel Energy Inc,4,United States,North America,Energy
Progress Energy Inc.,8,United States,North America,Utilities
Carpenter Technology Corp,3,United States,North America,Manufacturing
Carter-Wallace Inc,5,United States,North America,Chemicals
Cascade Corp,3,United States,North America,Manufacturing
Dole Food Co Inc,1,United States,North America,Consumer Non-Durables
Caterpillar Inc,3,United States,North America,Manufacturing
RF Industries Ltd,6,United States,North America,Business Equipment & Software
Cencor Inc,11,United States,North America,Finance
Centaur Sciences Inc,10,United States,North America,Healthcare
Centex Corp.,12,United States,North America,Other
Centocor Inc,10,United States,North America,Healthcare
Central Dynamics Ltd,6,Canada,North America,Business Equipment & Software
Central Illinois Light Co,8,United States,North America,Utilities
Cleco Corp,8,United States,North America,Utilities
CenturyLink Inc,7,United States,North America,Telecommunication
Ceradyne Inc,3,United States,North America,Manufacturing
Cerbco Inc,12,United States,North America,Other
Cermetek Microelectronics Inc,6,United States,North America,Business Equipment & Software
Cerprobe Corp,6,United States,North America,Business Equipment & Software
Certainteed Corp,3,United States,North America,Manufacturing
Cetus Corp,10,United States,North America,Healthcare
Chad Therapeutics Inc.,12,United States,North America,Other
TeraForce Technology Corp,6,United States,North America,Business Equipment & Software
Champion International Corp,3,United States,North America,Manufacturing
Cantel Medical Corp.,10,United States,North America,Healthcare
Chattem Inc,10,United States,North America,Healthcare
Delphax Technologies Inc,3,United States,North America,Manufacturing
Checkpoint Systems Inc,6,United States,North America,Business Equipment & Software
Chelsea Industries Inc,3,United States,North America,Manufacturing
Chem-Tronics Inc,3,United States,North America,Manufacturing
Chemfix Technologies Inc,12,United States,North America,Other
Chemfab Corporation,1,United States,North America,Consumer Non-Durables
JPMorgan Chase & Co,11,United States,North America,Finance
Chemineer Inc,3,United States,North America,Manufacturing
Cherry Corp,2,United States,North America,Consumer Durables
Chesebrough-Pond's Inc,5,United States,North America,Chemicals
Celsion Corp,10,United States,North America,Healthcare
Chevron Corp,4,United States,North America,Energy
Chief Automotive Systems Inc,3,United States,North America,Manufacturing
Brinker International Inc.,9,United States,North America,Wholesale & Retail
Chiron Corp,10,United States,North America,Healthcare
Chock Full O Nuts Corp,1,United States,North America,Consumer Non-Durables
Chomerics Inc,3,United States,North America,Manufacturing
Chronar Corp,2,United States,North America,Consumer Durables
Chrysler Corp,2,United States,North America,Consumer Durables
Chubb Corp,11,United States,North America,Finance
Church & Dwight Co. Inc.,5,United States,North America,Chemicals
Churchill Downs Inc,12,United States,North America,Other
Church's Fried Chicken Inc,9,United States,North America,Wholesale & Retail
ChyronHego Corp,6,United States,North America,Business Equipment & Software
Cincinnati Microwave Inc,6,United States,North America,Business Equipment & Software
Milacron Inc.,3,United States,North America,Manufacturing
Cipher Data Products Inc,6,United States,North America,Business Equipment & Software
Ciprico Inc,6,United States,North America,Business Equipment & Software
Circadian Inc,10,United States,North America,Healthcare
Circon Corp,10,United States,North America,Healthcare
Circuit City Stores Inc,9,United States,North America,Wholesale & Retail
Circuit Research Labs Inc,6,United States,North America,Business Equipment & Software
Cintas Corp,1,United States,North America,Consumer Non-Durables
Citicorp,11,United States,North America,Finance
Cities Service Co,4,United States,North America,Energy
Clark Equipment Co,3,United States,North America,Manufacturing
CLARCOR Inc.,3,United States,North America,Manufacturing
Classic Corp,2,United States,North America,Consumer Durables
iHeartMedia Inc,7,United States,North America,Telecommunication
Cleveland-Cliffs Inc,12,United States,North America,Other
Clinical Data Inc,10,United States,North America,Healthcare
Clorox Co (The),5,United States,North America,Chemicals
All American Group Inc,12,United States,North America,Other
Coast Distribution System Inc.,9,United States,North America,Wholesale & Retail
Cobe Laboratories Inc,10,United States,North America,Healthcare
Coca-Cola Co (The),1,United States,North America,Consumer Non-Durables
Coeur Mining Inc,12,United States,North America,Other
ThinkEngine Networks Inc,6,United States,North America,Business Equipment & Software
Coherent Inc,6,United States,North America,Business Equipment & Software
Ranger Industries Inc,12,United States,North America,Other
OncoMed Pharmaceuticals Inc,10,United States,North America,Healthcare
Colgate-Palmolive Co,5,United States,North America,Chemicals
Oscient Pharmaceuticals Corp,10,United States,North America,Healthcare
Collins Industries Inc,3,United States,North America,Manufacturing
Colonial Mirror & Glass Corp,3,United States,North America,Manufacturing
Coltec Industries,3,United States,North America,Manufacturing
Chase Corp,5,United States,North America,Chemicals
Columbia Energy Group,8,United States,North America,Utilities
Com Systems Inc,7,United States,North America,Telecommunication
COMARCO Inc,12,United States,North America,Other
Aon plc,11,United Kingdom,Europe,Finance
Combustion Engineering Inc,3,United States,North America,Manufacturing
Comcast Corp,7,United States,North America,Telecommunication
Comerica Inc,11,United States,North America,Finance
Fox Technology Inc,6,United States,North America,Business Equipment & Software
Cominco Ltd,12,Canada,North America,Other
Citigroup Inc,11,United States,North America,Finance
Commercial Decal Inc,3,United States,North America,Manufacturing
Commercial Metals Co,3,United States,North America,Manufacturing
Commercial Intertech,3,United States,North America,Manufacturing
Unicom Corp,8,United States,North America,Utilities
CTI Group Holdings Inc,6,United States,North America,Business Equipment & Software
Comsat Corp,7,United States,North America,Telecommunication
Communications Systems Inc.,6,United States,North America,Business Equipment & Software
Avis Budget Group Inc,12,United States,North America,Other
Compaq Computer Corp,6,United States,North America,Business Equipment & Software
Computer Automation Inc,6,United States,North America,Business Equipment & Software
CA Inc,6,United States,North America,Business Equipment & Software
Computer Devices Inc,9,United States,North America,Wholesale & Retail
Artesyn Technologies Inc.,6,United States,North America,Business Equipment & Software
DXC Technology Company,6,United States,North America,Business Equipment & Software
Computer Task Group Inc,6,United States,North America,Business Equipment & Software
Comstock Group Inc,12,United States,North America,Other
Comtech Telecommunications Corp.,6,United States,North America,Business Equipment & Software
Conagra Brands Inc,1,United States,North America,Consumer Non-Durables
Concept Inc,10,United States,North America,Healthcare
Latshaw Enterprises Inc,3,United States,North America,Manufacturing
Shutterstock Inc,6,United States,North America,Business Equipment & Software
Connelly Containers Inc,3,United States,North America,Manufacturing
Conroy Inc,2,United States,North America,Consumer Durables
Con-Way Inc,12,United States,North America,Other
Consolidated Papers Inc,3,United States,North America,Manufacturing
Novaled AG,6,Germany,Europe,Business Equipment & Software
Cooper Industries Plc,2,United States,North America,Consumer Durables
Cooper Tire & Rubber Co,3,United States,North America,Manufacturing
Cooper Companies Inc. (The),10,United States,North America,Healthcare
Corcom Inc,6,United States,North America,Business Equipment & Software
Cordis Corp,10,United States,North America,Healthcare
Core Industries Inc,3,United States,North America,Manufacturing
Corning Inc,6,United States,North America,Business Equipment & Software
Corvus Systems Inc,6,United States,North America,Business Equipment & Software
Courtaulds PLC,5,United Kingdom,Europe,Chemicals
Cramer Inc,3,United States,North America,Manufacturing
Crane Co.,3,United States,North America,Manufacturing
Crestek Inc,6,United States,North America,Business Equipment & Software
Chemtura Corp,5,United States,North America,Chemicals
Costa Inc,1,United States,North America,Consumer Non-Durables
Crown Holdings Inc,3,United States,North America,Manufacturing
Crown Crafts Inc,1,United States,North America,Consumer Non-Durables
Crucible Inc,3,United States,North America,Manufacturing
Cryodynamics Inc,3,United States,North America,Manufacturing
Cubic Corp,6,United States,North America,Business Equipment & Software
Cullen/Frost Bankers Inc,11,United States,North America,Finance
Cummins Inc.,3,United States,North America,Manufacturing
Curtiss-Wright Corp,3,United States,North America,Manufacturing
Cushman Electronics Inc,6,United States,North America,Business Equipment & Software
DBA Systems Inc,6,United States,North America,Business Equipment & Software
GT Biopharma Inc,10,United States,North America,Healthcare
DNA Plant Technology Corp,1,United States,North America,Consumer Non-Durables
DRG Inc,3,Canada,North America,Manufacturing
DSC Communications Corp,6,United States,North America,Business Equipment & Software
DST Systems Inc.,6,United States,North America,Business Equipment & Software
Sensytech Inc,6,United States,North America,Business Equipment & Software
Dale Electronics Inc,6,United States,North America,Business Equipment & Software
Damon Biotech Inc,10,United States,North America,Healthcare
Dana Inc,2,United States,North America,Consumer Durables
Danaher Corp,6,United States,North America,Business Equipment & Software
Daniel Industries,6,United States,North America,Business Equipment & Software
Kraft General Foods,1,United States,North America,Consumer Non-Durables
Dash Industries Inc,9,Panama,North America,Wholesale & Retail
Data General Corp,6,United States,North America,Business Equipment & Software
Data I/O Corp,6,United States,North America,Business Equipment & Software
Costar Corp,3,United States,North America,Manufacturing
Inrange Technologies Corp,6,United States,North America,Business Equipment & Software
Datakey Inc,6,United States,North America,Business Equipment & Software
Media 100 Inc,6,United States,North America,Business Equipment & Software
Datametrics Corp,6,United States,North America,Business Equipment & Software
Datapower Inc,6,United States,North America,Business Equipment & Software
Dataram Corp - old,6,United States,North America,Business Equipment & Software
Datascope Corp,10,United States,North America,Healthcare
Dataspeed Inc,6,United States,North America,Business Equipment & Software
Datatron Inc,9,United States,North America,Wholesale & Retail
Datavision Inc,6,United States,North America,Business Equipment & Software
Scientific Technologies Inc,6,United States,North America,Business Equipment & Software
Datum Inc,6,United States,North America,Business Equipment & Software
Daxor Corp,10,United States,North America,Healthcare
Target Corp,9,United States,North America,Wholesale & Retail
Viewtran Group Inc,6,China,Asia Pacific,Business Equipment & Software
Deere & Co,3,United States,North America,Manufacturing
DGT Holdings Corp,11,United States,North America,Finance
Del Laboratories Inc.,5,United States,North America,Chemicals
Fresenius USA Inc,10,United States,North America,Healthcare
Delta Air Lines Inc,12,United States,North America,Other
Deluxe Corp,1,United States,North America,Consumer Non-Durables
Denelcor Inc,6,United States,North America,Business Equipment & Software
Dennison Manufacturing Co,3,United States,North America,Manufacturing
Hydron Technologies Inc,5,United States,North America,Chemicals
De Soto Inc,5,United States,North America,Chemicals
Detection Systems Inc,6,United States,North America,Business Equipment & Software
Detector Electronics Corp,6,United States,North America,Business Equipment & Software
Detrex Corp,5,United States,North America,Chemicals
DTE Energy Co,8,United States,North America,Utilities
Develcon Electronics Ltd,6,Canada,North America,Business Equipment & Software
Dexon Inc,3,United States,North America,Manufacturing
Dexter Corp,10,United States,North America,Healthcare
Lifecore Biomedical Inc,10,United States,North America,Healthcare
Diagnostic Products Corp,10,United States,North America,Healthcare
DRS Technologies Inc.,6,United States,North America,Business Equipment & Software
Diamond Crystal Salt Co,1,United States,North America,Consumer Non-Durables
OEC Medical Systems Inc,10,United States,North America,Healthcare
Alliance One International Inc,9,United States,North America,Wholesale & Retail
Diebold Nixdorf Inc,6,United States,North America,Business Equipment & Software
Veritas DGC Inc.,4,United States,North America,Energy
Digital Equipment,6,United States,North America,Business Equipment & Software
Digital Recording Corp,11,United States,North America,Finance
Diodes Inc,6,United States,North America,Business Equipment & Software
Dionex Corp,6,United States,North America,Business Equipment & Software
Dionics Inc,6,China,Asia Pacific,Business Equipment & Software
Walt Disney Co (The),7,United States,North America,Telecommunication
Display Components Inc,6,United States,North America,Business Equipment & Software
Diversified Energies Inc,8,United States,North America,Utilities
Dixon Ticonderoga Co,1,United States,North America,Consumer Non-Durables
Dixson Inc,6,United States,North America,Business Equipment & Software
Dofasco Inc,3,Canada,North America,Manufacturing
Domco Tarkett Inc,2,Canada,North America,Consumer Durables
Dominion Energy Inc,8,United States,North America,Utilities
Dominion Textiles Inc,1,Canada,North America,Consumer Non-Durables
Domtar Inc.,3,Canada,North America,Manufacturing
Donaldson Co Inc.,2,United States,North America,Consumer Durables
R.R. Donnelley & Sons Co,3,United States,North America,Manufacturing
Constar International Inc,3,United States,North America,Manufacturing
Douglas & Lomason Co,3,United States,North America,Manufacturing
Dover Corp,3,United States,North America,Manufacturing
DowDuPont Inc,5,United States,North America,Chemicals
Dow Corning Corp,5,United States,North America,Chemicals
Dravo Corp,3,United States,North America,Manufacturing
Dresser Industries Inc,4,United States,North America,Energy
E. I. du Pont de Nemours and Co,5,United States,North America,Chemicals
Dual Lite Inc,2,United States,North America,Consumer Durables
Ducommun Inc,3,United States,North America,Manufacturing
Duke Energy Corp,8,United States,North America,Utilities
Dun & Bradstreet Corp (The),12,United States,North America,Other
Durakon Industries Inc,2,United States,North America,Consumer Durables
Flowserve Corp.,3,United States,North America,Manufacturing
Duro-Test Corp,2,United States,North America,Consumer Durables
Dylex Ltd,9,Canada,North America,Wholesale & Retail
DynCorp Inc.,12,United States,North America,Other
Dynatec International Inc,6,United States,North America,Business Equipment & Software
